[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=30.0% windows=576/1920 env_steps=9 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=40.0% windows=768/1920 env_steps=12 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=50.0% windows=960/1920 env_steps=15 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=60.0% windows=1152/1920 env_steps=18 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=70.0% windows=1344/1920 env_steps=21 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=80.0% windows=1536/1920 env_steps=24 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=90.0% windows=1728/1920 env_steps=27 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=100.0% windows=1920/1920 env_steps=29 acceptance=103.45% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=0.0% windows=0/1024 env_steps=0 acceptance=0.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=12.5% windows=128/1024 env_steps=2 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=25.0% windows=256/1024 env_steps=4 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=31.2% windows=320/1024 env_steps=5 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=43.8% windows=448/1024 env_steps=7 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=50.0% windows=512/1024 env_steps=8 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=62.5% windows=640/1024 env_steps=10 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=75.0% windows=768/1024 env_steps=12 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=81.2% windows=832/1024 env_steps=13 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=93.8% windows=960/1024 env_steps=15 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=100.0% windows=1024/1024 env_steps=15 acceptance=106.67% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=steady_state mode=planner_idm progress=0.0% windows=0/16384 env_steps=0 acceptance=0.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=steady_state mode=planner_idm progress=10.2% windows=1663/16384 env_steps=61 acceptance=42.60% rejected(done=8 command=0 scenario=0)
[fada-collect] scenario=walk profile=steady_state mode=planner_idm progress=20.0% windows=3280/16384 env_steps=94 acceptance=54.52% rejected(done=26 command=0 scenario=0)
